ID,日期,收盘价,最高价,最低价,开盘价,成交量,成交金额,星期一,星期二,星期三,星期四,星期五,星期六,星期日,是否缺失数据
1,1990-12-19,99.98,99.98,95.79,96.05,1260,494000,0,0,1,0,0,0,0,0
2,1990-12-20,104.39,104.39,99.98,104.3,197,84000,0,0,0,1,0,0,0,0
3,1990-12-21,109.13,109.13,103.73,109.07,28,16000,0,0,0,0,1,0,0,0
4,1990-12-22,109.13,109.13,103.73,109.07,28,16000,0,0,0,0,0,1,0,1
5,1990-12-23,109.13,109.13,103.73,109.07,28,16000,0,0,0,0,0,0,1,1
6,1990-12-24,114.55,114.55,109.13,113.57,32,31000,1,0,0,0,0,0,0,0
7,1990-12-25,120.25,120.25,114.55,120.09,15,6000,0,1,0,0,0,0,0,0
8,1990-12-26,125.27,125.27,120.25,125.27,100,53000,0,0,1,0,0,0,0,0
9,1990-12-27,125.28,125.28,125.27,125.27,66,104000,0,0,0,1,0,0,0,0
10,1990-12-28,126.45,126.45,125.28,126.39,108,88000,0,0,0,0,1,0,0,0
11,1990-12-29,126.45,126.45,125.28,126.39,108,88000,0,0,0,0,0,1,0,1
12,1990-12-30,126.45,126.45,125.28,126.39,108,88000,0,0,0,0,0,0,1,1
13,1990-12-31,127.61,127.61,126.48,126.56,78,60000,1,0,0,0,0,0,0,0
14,1991-01-01,127.61,127.61,126.48,126.56,78,60000,0,1,0,0,0,0,0,1
15,1991-01-02,128.84,128.84,127.61,127.61,91,59000,0,0,1,0,0,0,0,0
16,1991-01-03,130.14,130.14,128.84,128.84,141,93000,0,0,0,1,0,0,0,0
17,1991-01-04,131.44,131.44,130.14,131.27,420,261000,0,0,0,0,1,0,0,0
18,1991-01-05,131.44,131.44,130.14,131.27,420,261000,0,0,0,0,0,1,0,1
19,1991-01-06,131.44,131.44,130.14,131.27,420,261000,0,0,0,0,0,0,1,1
20,1991-01-07,132.06,132.06,131.45,131.99,217,141000,1,0,0,0,0,0,0,0
21,1991-01-08,132.68,132.68,132.06,132.62,2926,1806000,0,1,0,0,0,0,0,0
22,1991-01-09,133.34,133.34,132.68,133.3,5603,3228000,0,0,1,0,0,0,0,0
23,1991-01-10,133.97,133.97,133.34,133.93,9990,5399000,0,0,0,1,0,0,0,0
